domain,is_state_of_interest,place,county,state,country,type,multi_state,district,Source
co.washington.pa.us,1,,washington county,Pennsylvania,USA,County,,,GSA
co.washington.tx.us,1,,washington county,Texas,USA,County,,,GSA
co.waushara.wi.us,1,,waushara county,Wisconsin,USA,County,,,GSA
co.wayne.in.us,1,,Wayne County,Indiana,USA,County,,,Manual Review
co.weld.co.us,1,,Weld County,Colorado,USA,County,,,Manual Review
co.westmoreland.pa.us,1,,westmoreland county,Pennsylvania,USA,County,,,GSA
co.willacy.tx.us,1,,Willacy County,Texas,USA,County,,,Manual Review
co.wilson.tx.us,1,,Wilson County,Texas,USA,County,,,Manual Review
co.winnebago.wi.us,1,,winnebago county,Wisconsin,USA,County,,,GSA
co.winona.mn.us,1,,winona county,Minnesota,USA,County,,,GSA
co.wood.wi.us,1,,wood county,Wisconsin,USA,County,,,GSA
co.wright.mn.us,1,,wright county,Minnesota,USA,County,,,GSA
co.yamhill.or.us,1,,yamhill county,Oregon,USA,County,,,GSA
cobbcounty.org,1,,cobb county,Georgia,USA,County,,,GSA
cochise.az.gov,1,,Cochise County,Arizona,USA,County,,,Manual Review
coconino.az.gov,1,,Coconino County,Arizona,USA,County,,,Manual Review
cocovote.us,1,,Contra Costa County,California,USA,County,,,Manual Review
coj.net,1,,jacksonville and duval county,Florida,USA,County,,,GSA
coldwater.org,1,coldwater,,michigan,USA,Local,,,GSA
colesco.illinois.gov,1,,Coles County,Illinois,USA,County,,,Manual Review
colliervotes.gov,1,,Collier County,Florida,USA,County,,,CISA
collincountytx.gov,1,,collin county,Texas,USA,County,,,CISA
colorado.gov,1,,,Colorado,USA,State,,,CISA
coloradosos.gov,1,,,Colorado,USA,State,,,CISA
columbiaco.com,1,,columbia county,Washington,USA,County,,,GSA
columbiacountyga.gov,1,,columbia county,Georgia,USA,County,,,CISA
columbiacountyor.gov,1,,columbia county,Oregon,USA,County,,,CISA
columbiaheightsmn.gov,1,Columbia Heights,,Minnesota,USA,Local,,,CISA
columbiapa.org,1,,columbia county,Pennsylvania,USA,County,,,GSA
columbiatwp.com,1,columbia township,,michigan,USA,Local,,,GSA
columbusga.gov,1,Columbus,,Georgia,USA,Local,,,CISA
comptoncity.org,1,compton,,california,USA,Local,,,GSA
comstockmi.gov,1,Kalamazoo,,Michigan,USA,Local,,,CISA
concordnh.gov,1,Concord,,New Hampshire,USA,Local,,,CISA
conshohockenpa.gov,1,Conshohocken,,Pennsylvania,USA,Local,,,CISA
contracostavote.gov,1,,contra costa county,California,USA,County,,,CISA
cookcountyclerkil.gov,1,,cook county,Illinois,USA,County,,,CISA
cookcountyil.gov,1,,cook county,Illinois,USA,County,,,CISA
coolidgeaz.com,1,coolidge,,arizona,USA,Local,,,GSA
coonrapidsmn.gov,1,Coon Rapids,,Minnesota,USA,Local,,,CISA
coralgables.com,1,coral gables,,florida,USA,Local,,,GSA
cortland-co.org,1,,cortland county,New York,USA,County,,,GSA
cortlandville.org,1,cortlandville,,new york,USA,Local,,,GSA
corvallisoregon.gov,1,Corvallis,,Oregon,USA,Local,,,CISA
cosb.us,1,,san benito county,California,USA,County,,,GSA
costa.house.gov,1,,,California,,rep,,21,Manual Review
costamesaca.gov,1,Costa Mesa,,California,USA,Local,,,CISA
cottagegrovemn.gov,1,Cottage Grove,,Minnesota,USA,Local,,,CISA
counsel.nysed.gov,1,,,New York,USA,State,,,CISA
countyclerk.sangamonil.gov,1,,sangamon county,Illinois,USA,County,,,CISA
countynewscenter.com,1,,san diego county,california,USA,County,,,GSA
countyofamherst.com,1,,amherst county,Virginia,USA,County,,,GSA
countyofcolusa.org,1,,colusa county,California,USA,County,,,GSA
countyofsb.org,1,,santa barbara county,California,USA,County,,,GSA
coventryri.org,1,coventry,,rhode island,USA,Local,,,GSA
covinaca.gov,1,Covina,,California,USA,Local,,,CISA
coweta.ga.us,1,,Coweta County,Georgia,USA,County,,,Manual Review
craig.house.gov,1,,,Minnesota,,rep,,2,Manual Review
craigcountyva.gov,1,,cook county,Virginia,USA,County,,,CISA
cranberrytownship.org,1,cranberry township,,pennsylvania,USA,Local,,,GSA
cranstonri.gov,1,Cranston,,Rhode Island,USA,Local,,,CISA
cravencountync.gov,1,,craven county,North Carolina,USA,County,,,CISA
crawfordcountykansas.org,1,,crawford county,Kansas,USA,County,,,GSA
crgov.com,1,castle rock,,colorado,USA,Local,,,GSA
crow.house.gov,1,,,Colorado,,rep,,6,Manual Review
crowwing.us,1,,crow wing county,Minnesota,USA,County,,,GSA
cssrc.us,1,,,California,USA,State,,,Manual Review
ct.gov,0,,,Connecticut,USA,State,,,CISA
cubacity.org,1,cuba,,wisconsin,USA,Local,,,GSA
culvercity.org,1,culver city,,california,USA,Local,,,GSA
cumberlandcountync.gov,1,,cumberland county,North Carolina,USA,County,,,CISA
cumberlandcountypa.gov,1,,cumberland county,Pennsylvania,USA,County,,,CISA
cumberlandri.org,1,cumberland,,rhode island,USA,Local,,,GSA
cwgdn.com,1,winter garden,,florida,USA,Local,,,GSA
daculaga.gov,1,Dacula,,Georgia,USA,Local,,,CISA
dadecityfl.com,1,dade city,,florida,USA,Local,,,GSA
dadecounty-ga.gov,1,,dade county,Georgia,USA,County,,,CISA
dakota.mn.us,1,,Dakota County,Minnesota,USA,County,,,Manual Review
daltonga.gov,1,Dalton,,Georgia,USA,Local,,,CISA
dankildee.house.gov,1,,,Michigan,,rep,,8,Manual Review
danville-va.gov,1,Danville,,Virginia,USA,Local,,,CISA
data.cityofnewyork.us,1,New York City,,New York,USA,Local,,,Manual Review
davids.house.gov,1,,,Kansas,,rep,,3,Manual Review
davidscott.house.gov,1,,,Georgia,,rep,,13,Manual Review
davie-fl.gov,1,Davie,,Florida,USA,Local,,,CISA
daviecountync.gov,1,,davie county,North Carolina,USA,County,,,CISA
debary.org,1,debary,,florida,USA,Local,,,GSA
debbiedingell.house.gov,1,,,Michigan,,rep,,6,Manual Review
decaturcountyga.gov,1,,decatur county,Georgia,USA,County,,,CISA
decaturga.com,1,decatur,,georgia,USA,Local,,,GSA
dedham-ma.gov,0,Dedham,,Massachusetts,USA,Local,,,CISA
defazio.house.gov,1,,,Oregon,,rep,,4,Manual Review
degette.house.gov,1,,,Colorado,,rep,,1,Manual Review
dekalbcountyga.gov,1,,dekalb county,Georgia,USA,County,,,CISA
delaware.gov,0,,,Delaware,USA,State,,,CISA
delawarecountyelections.iowa.gov,0,,Delaware County,Iowa,USA,County,,,Manual Review
delbene.house.gov,1,,,Washington,,rep,,1,Manual Review
delcopa.gov,1,,delaware county,Pennsylvania,USA,County,,,CISA
deltacounty.com,1,,delta county,Colorado,USA,County,,,GSA
demings.house.gov,1,,,Florida,,rep,,10,Manual Review
denvergov.org,1,denver,,colorado,USA,Local,,,GSA
deperewi.gov,1,De Pere,,Wisconsin,USA,Local,,,CISA
desaulnier.house.gov,1,,,California,,rep,,10,Manual Review
deschutes.org,1,,deschutes county,Oregon,USA,County,,,GSA
desplaines.org,1,des plaines,,illinois,USA,Local,,,GSA
detroitmi.gov,1,Detroit,,Michigan,USA,Local,,,CISA
dhaz.gov,1,Humboldt,,Arizona,USA,Local,,,CISA
diamondbarca.gov,1,Diamond Bar,,California,USA,Local,,,CISA
dillinghamak.us,1,dillingham,,alaska,USA,Local,,,GSA
dkcoks.gov,1,,dickinson county,Kansas,USA,County,,,CISA
doggett.house.gov,1,,,Texas,,rep,,37,Manual Review
dot.nm.gov,1,,,New Mexico,USA,State,,,Manual Review
dougherty.ga.us,1,,Dougherty County,Georgia,USA,County,,,Manual Review
douglas.co.us,1,,Douglas County,Colorado,USA,County,,,Manual Review
douglascounty-ne.gov,1,,douglas county,Nebraska,USA,County,,,CISA
douglascounty-oregon.us,1,,Douglas County,Oregon,USA,County,,,Manual Review
douglascountywa.net,1,,douglas county,Washington,USA,County,,,GSA
douglascountywi.org,1,,douglas county,Wisconsin,USA,County,,,GSA
douglasvillega.gov,1,Douglasville,,Georgia,USA,Local,,,CISA
dover.nh.gov,1,Dover,,New Hampshire,USA,Local,,,Manual Review
downers.us,1,downers grove,,illinois,USA,Local,,,GSA
doyle.house.gov,1,,,Pennsylvania,,rep,,18,Manual Review
doylestownpa.org,1,doylestown township,,pennsylvania,USA,Local,,,GSA
dubuquecountyiowa.gov,0,,dubuque county,Iowa,USA,County,,,CISA
dunedingov.com,1,dunedin,,florida,USA,Local,,,GSA
dupagecounty.gov,1,,dupage county,Illinois,USA,County,,,CISA
dutchessny.gov,1,,dutchess county,New York,USA,County,,,CISA
duvalelections.gov,1,,duval county,Florida,USA,County,,,CISA
duvallwa.gov,1,Duvall,,Washington,USA,Local,,,CISA
eagaraz.gov,1,Eagar,,Arizona,USA,Local,,,CISA
eaglecounty.us,1,,Eagle County,Colorado,USA,County,,,Manual Review
eastchicago.com,1,east chicago,,indiana,USA,Local,,,GSA
eastgreenwichri.com,1,east greenwich,,rhode island,USA,Local,,,GSA
eastmoline.com,1,east moline,,illinois,USA,Local,,,GSA
eastport-me.gov,1,Eastport,,Maine,USA,Local,,,CISA
eastprovidenceri.gov,1,East Providence,,Rhode Island,USA,Local,,,CISA
eastvaleca.gov,1,Eastvale,,California,USA,Local,,,CISA
eastwhiteland.org,1,east whiteland township,,pennsylvania,USA,Local,,,GSA
eatoncounty.org,1,,eaton county,Michigan,USA,County,,,GSA
eatonnh.org,1,eaton,,new hampshire,USA,Local,,,GSA
eauclairecounty.gov,1,,eau claire county,Wisconsin,USA,County,,,CISA
edcgov.us,1,,el dorado county,California,USA,County,,,GSA
edenprairie.org,1,eden prairie,,minnesota,USA,Local,,,GSA
edgecombecountync.gov,1,,edgecombe county,North Carolina,USA,County,,,CISA
edinamn.gov,1,Edina,,Minnesota,USA,Local,,,CISA
elbertcounty-co.gov,1,,elbert county,Colorado,USA,County,,,CISA
elect.hamiltontn.gov,0,,hamilton county,Tennessee,USA,County,,,CISA
election.rutherfordcountytn.gov,0,,Rutherford County,Tennessee,USA,County,,,Manual Review
electionresults.sd.gov,0,,,South Dakota,USA,State,,,Manual Review
elections.bcohio.gov,0,,butler county,Ohio,USA,County,,,CISA
elections.calaverasgov.us,1,,Calaveras County,California,USA,County,,,Manual Review
elections.carrollcountymd.gov,0,,carroll county,Maryland,USA,County,,,CISA
elections.clintoncounty-ia.gov,0,,clinton county,Iowa,USA,County,,,CISA
elections.co.kern.ca.us,1,,Kern County,California,USA,County,,,Manual Review
elections.co.shasta.ca.us,1,,Shasta County,California,USA,County,,,Manual Review
elections.erie.gov,1,,erie county,New York,USA,County,,,CISA
elections.inyocounty.us,1,,Inyo County,California,USA,County,,,Manual Review
elections.niagara.ny.us,1,,Niagara County,New York,USA,County,,,Manual Review
electionsshelbytn.gov,0,,Shelby County,Tennessee,USA,County,,,CISA
eliotmaine.org,1,eliot,,maine,USA,Local,,,GSA
ellsworthmaine.gov,1,Ellsworth,,Maine,USA,Local,,,CISA
elmhurst.org,1,elmhurst,,illinois,USA,Local,,,GSA
elmirageaz.gov,1,El Mirage,,Arizona,USA,Local,,,CISA
eloyaz.gov,1,Eloy,,Arizona,USA,Local,,,CISA
emanuelco-ga.gov,1,,emanuel county,Georgia,USA,County,,,CISA
encinitasca.gov,1,Encinitas,,California,USA,Local,,,CISA
englewoodco.gov,1,Englewood,,Colorado,USA,Local,,,CISA
erieco.gov,1,Erie,,Colorado,USA,Local,,,CISA
eriecountypa.gov,1,,erie county,Pennsylvania,USA,County,,,CISA
escambiavotes.gov,1,,escambia county,Florida,USA,County,,,CISA
espaillat.house.gov,1,,,New York,,rep,,13,Manual Review
estes.house.gov,1,,,Kansas,,rep,,4,Manual Review
estespark.colorado.gov,1,Estes Park,,Colorado,USA,Local,,,Manual Review
ethics.state.tx.us,1,,,Texas,USA,State,,,Manual Review
eugene-or.gov,1,Eugene,,Oregon,USA,Local,,,CISA
evanscolorado.gov,1,Evans,,Colorado,USA,Local,,,CISA
exeternh.gov,1,Exeter,,New Hampshire,USA,Local,,,CISA
fairbanksalaska.us,1,Fairbanks,,Alaska,USA,Local,,,Manual Review
fairfaxcounty.gov,1,,fairfax county,Virginia,USA,County,,,CISA
fairfieldct.org,0,fairfield,,connecticut,USA,Local,,,GSA
fallriverma.org,0,fall river,,massachusetts,USA,Local,,,GSA
fallschurchva.gov,1,Falls Church,,Virginia,USA,Local,,,CISA
farmington-maine.org,1,farmington,,maine,USA,Local,,,GSA
farmingtonmn.gov,1,Farmington,,Minnesota,USA,Local,,,CISA
fauquiercounty.gov,1,,fauquier county,Virginia,USA,County,,,CISA
fayettecountyga.gov,1,,fayette county,Georgia,USA,County,,,CISA
fayettevillenc.gov,1,Fayetteville,,North Carolina,USA,Local,,,CISA
fbfl.us,1,fernandina beach,,florida,USA,Local,,,GSA
fcgov.com,1,fort collins,,colorado,USA,Local,,,GSA
fcva.us,1,,frederick county,Virginia,USA,County,,,GSA
fdlco.wi.gov,1,,Fond du Lac County,Wisconsin,USA,County,,,Manual Review
fdot.gov,1,,,Florida,USA,State,,,CISA
fentontownship.org,1,fenton township,,michigan,USA,Local,,,GSA
fernandez.house.gov,1,,,New Mexico,,rep,,3,Manual Review
finneycounty.org,1,,finney county,Kansas,USA,County,,,GSA
firestoneco.gov,1,Firestone,,Colorado,USA,Local,,,CISA
fitzpatrick.house.gov,1,,,Pennsylvania,,rep,,1,Manual Review
flaglerelections.gov,1,,flagler county,Florida,USA,County,,,CISA
flagstaff.az.gov,1,Flagstaff,,Arizona,USA,Local,,,Manual Review
floridados.gov,1,,,Florida,USA,State,,,CISA
floridaelectionwatch.gov,1,,,Florida,USA,State,,,CISA
floridaredistricting.gov,1,,,Florida,USA,State,,,CISA
flossmoor.org,1,flossmoor,,illinois,USA,Local,,,GSA
floydcounty.in.gov,1,,Floyd County,Indiana,USA,County,,,Manual Review
flsenate.gov,1,,,Florida,USA,State,,,CISA
fluvannacounty.org,1,,fluvanna county,Virginia,USA,County,,,GSA
fnsb.gov,1,,Fairbanks North Star Borough,Alaska,USA,County,,,CISA
fordcounty.illinois.gov,1,,Ford County,Illinois,USA,County,,,Manual Review
fordcounty.net,1,,ford county,Kansas,USA,County,,,GSA
foresthillspa.org,1,forest hills,,pennsylvania,USA,Local,,,GSA
forsythco.com,1,forsyth,,georgia,USA,Local,,,GSA
fortbendcountytx.gov,1,,fort bend county,Texas,USA,County,,,CISA
fortlauderdale.gov,1,,,Florida,USA,State,,,CISA
fortlupton.org,1,fort lupton,,colorado,USA,Local,,,GSA
fortluptonco.gov,1,Fort Lupton,,Colorado,USA,Local,,,CISA
fortmyersbeachfl.gov,1,Fort Myers Beach,,Florida,USA,Local,,,CISA
fortworthtexas.gov,1,Fort Worth,,Texas,USA,Local,,,CISA
foster.house.gov,1,,,Illinois,,rep,,11,Manual Review
foxcrossingwi.gov,1,Neenah,,Wisconsin,USA,Local,,,CISA
framinghamma.gov,0,Framingham,,Massachusetts,USA,Local,,,CISA
franklincoks.org,1,,franklin county,Kansas,USA,County,,,GSA
franklincountyga.gov,1,,franklin county,Georgia,USA,County,,,CISA
franklincountyil.gov,1,,franklin county,Illinois,USA,County,,,CISA
franklincountync.gov,1,,franklin county,North Carolina,USA,County,,,CISA
franklincountypa.gov,1,,franklin county,Pennsylvania,USA,County,,,CISA
franklincountyva.gov,1,,franklin county,Virginia,USA,County,,,CISA
franklincountywa.gov,1,,franklin county,Washington,USA,County,,,CISA
franklinnh.org,1,franklin,,new hampshire,USA,Local,,,GSA
franklintownship.us,1,Franklin Township,,Pennsylvania,USA,Local,,,Manual Review
frederickco.gov,1,Frederick,,Colorado,USA,Local,,,CISA
frederickcountymd.gov,0,,frederick county,Maryland,USA,County,,,CISA
freeportmaine.com,1,freeport,,maine,USA,Local,,,GSA
fremont.gov,1,Fremont,,California,USA,Local,,,CISA
fresno.gov,1,Fresno,,California,USA,Local,,,CISA
friscotexas.gov,1,Frisco,,Texas,USA,Local,,,CISA
ftp.dot.state.tx.us,1,,,Texas,USA,State,,,Manual Review
fultoncountyga.gov,1,,fulton county,Georgia,USA,County,,,CISA
fultoncountyny.gov,1,,fulton county,New York,USA,County,,,CISA
ga.gov,1,,,Georgia,USA,State,,,CISA
gadoe.org,1,,,Georgia,USA,State,,,GSA
gagecountynebraska.us,1,,Gage County,Nebraska,USA,County,,,Manual Review
gallagher.house.gov,1,,,Wisconsin,,rep,,8,Manual Review
gallupnm.gov,1,Gallup,,New Mexico,USA,Local,,,CISA
garamendi.house.gov,1,,,California,,rep,,8,Manual Review
gardencitymi.org,1,garden city,,michigan,USA,Local,,,GSA
gardnerkansas.gov,1,Gardner,,Kansas,USA,Local,,,CISA
garfield-county.com,1,,garfield county,Colorado,USA,County,,,GSA
garlandtx.gov,1,Garland,,Texas,USA,Local,,,CISA
garnernc.gov,1,Garner,,North Carolina,USA,Local,,,CISA
gary.gov,1,Gary,,Indiana,USA,Local,,,CISA
gencourt.state.nh.us,1,,,New Hampshire,USA,State,,,Manual Review
georgia.gov,1,,,Georgia,USA,State,,,CISA
ght.org,1,grand haven charter township,,michigan,USA,Local,,,GSA
gilacountyaz.gov,1,,gila county,Arizona,USA,County,,,CISA
gilbertaz.gov,1,Gilbert,,Arizona,USA,Local,,,CISA
gis.broomecountyny.gov,1,,broome county,New York,USA,County,,,CISA
gis.co.linn.or.us,1,,Linn County,Oregon,USA,County,,,Manual Review
gis.elpasotexas.gov,1,El Paso,,Texas,USA,Local,,,CISA
glendale-wi.org,1,glendale,,wisconsin,USA,Local,,,GSA
glendaleaz.com,1,glendale,,arizona,USA,Local,,,GSA
glendaleca.gov,1,Glendale,,California,USA,Local,,,CISA
glocesterri.org,1,glocester,,rhode island,USA,Local,,,GSA
gloucester-ma.gov,0,Gloucester,,Massachusetts,USA,Local,,,CISA
glynncounty.org,1,,glynn county,Georgia,USA,County,,,GSA
gobroomecounty.com,1,,broome county,New York,USA,County,,,GSA
goffstown.com,1,goffstown,,new hampshire,USA,Local,,,GSA
golden.house.gov,1,,,Maine,,rep,,2,Manual Review
gomez.house.gov,1,,,California,,rep,,34,Manual Review
gonzales.texas.gov,1,Gonzales,,Texas,USA,Local,,,Manual Review
gonzalez.house.gov,1,,,Texas,,rep,,34,Manual Review
goodyearaz.gov,1,Goodyear,,Arizona,USA,Local,,,CISA
gordoncounty.org,1,,gordon county,Georgia,USA,County,,,GSA
gorham-me.org,1,gorham,,maine,USA,Local,,,GSA
gosar.house.gov,1,,,Arizona,,rep,,9,Manual Review
governor.state.nm.us,1,,,New Mexico,USA,State,,,Manual Review
graham.az.gov,1,,Graham County,Arizona,USA,County,,,Manual Review
grandchute.net,1,grand chute,,wisconsin,USA,Local,,,GSA
grandrapidsmi.gov,1,Grand Rapids,,Michigan,USA,Local,,,CISA
grantcountynm.gov,1,,grant county,New Mexico,USA,County,,,CISA
grantcountywa.gov,1,,grant county,Washington,USA,County,,,CISA
graymaine.org,1,gray,,maine,USA,Local,,,GSA
greeleygov.com,1,greeley,,colorado,USA,Local,,,GSA
greenbaywi.gov,1,Green Bay,,Wisconsin,USA,Local,,,CISA
greenburghny.com,1,greenburgh,,new york,USA,Local,,,GSA
greenecountyga.gov,1,,greene county,Georgia,USA,County,,,CISA
greenecountyva.gov,1,,greene county,Virginia,USA,County,,,CISA
greenegovernment.com,1,,green county,New York,USA,County,,,GSA
greenfield-nh.gov,1,Greenfield,,New Hampshire,USA,Local,,,CISA
greenlakecountywi.gov,1,,green lake county,Wisconsin,USA,County,,,CISA
greenlee.az.gov,1,,Greenlee County,Arizona,USA,County,,,Manual Review
greenoaktwp.com,1,green oak township,,michigan,USA,Local,,,GSA
greensboro-nc.gov,1,Greensboro,,North Carolina,USA,Local,,,CISA
greenwichct.gov,0,Greenwich,,Connecticut,USA,Local,,,CISA
greenwoodvillage.com,1,greenwood village,,colorado,USA,Local,,,GSA
gretnane.org,1,gretna,,nebraska,USA,Local,,,GSA
grijalva.house.gov,1,,,Arizona,,rep,,7,Manual Review
grothman.house.gov,1,,,Wisconsin,,rep,,6,Manual Review
grundycountyil.gov,1,,grundy county,Illinois,USA,County,,,CISA
guilfordcountync.gov,1,,guilford county,North Carolina,USA,County,,,CISA
gulfcounty-fl.gov,1,,gulf county,Florida,USA,County,,,CISA
gwenmoore.house.gov,1,,,Wisconsin,,rep,,4,Manual Review
gwinnettcounty.com,1,,gwinette county,Georgia,USA,County,,,GSA
halifaxnc.com,1,halifax,,north carolina,USA,Local,,,GSA
hallcounty.org,1,,hall county,Georgia,USA,County,,,GSA
hallcountyne.gov,1,,hall county,Nebraska,USA,County,,,CISA
hamiltoncounty.in.gov,1,,Hamilton County,Indiana,USA,County,,,Manual Review
hampton-pa.org,1,hampton township,,pennsylvania,USA,Local,,,GSA
hampton.gov,1,Hampton,,Virginia,USA,Local,,,CISA
hamptonga.gov,1,Hampton,,Georgia,USA,Local,,,CISA
hancockcountyohioelections.gov,0,,hancock county,Ohio,USA,County,,,CISA
hancockmaine.org,1,hancock,,maine,USA,Local,,,GSA
hankjohnson.house.gov,1,,,Georgia,,rep,,4,Manual Review
hanoverboroughpa.gov,1,Hanover,,Pennsylvania,USA,Local,,,CISA
hanovercounty.gov,1,,hanover county,Virginia,USA,County,,,CISA
hanovernh.org,1,hanover,,new hampshire,USA,Local,,,GSA
harlingentx.gov,1,Harlingen,,Texas,USA,Local,,,CISA
harnett.org,1,harnett,,north carolina,USA,Local,,,GSA
harriscountyga.gov,1,,harris county,Georgia,USA,County,,,CISA
harriscountytx.gov,1,,harris county,Texas,USA,County,,,CISA
harrisoncounty.in.gov,1,,Harrison County,Indiana,USA,County,,,Manual Review
harveycounty.com,1,,harvey county,Kansas,USA,County,,,GSA
hawaii.gov,0,,,Hawaii,USA,State,,,CISA
haywoodcountync.gov,1,,haywood county,North Carolina,USA,County,,,CISA
hebronnh.gov,1,Hebron,,New Hampshire,USA,Local,,,CISA
henderson-county.com,1,,henderson county,Texas,USA,County,,,GSA
hendersoncountync.gov,1,,henderson county,North Carolina,USA,County,,,CISA
hennepin.us,1,,hennepin county,Minnesota,USA,County,,,GSA
henniker.org,1,henniker,,new hampshire,USA,Local,,,GSA
henrico.us,1,,henrico county,virginia,USA,County,,,GSA
henryco.net,1,,henry county,Indiana,USA,County,,,GSA
henrycountyva.gov,1,,henry county,Virginia,USA,County,,,CISA
henrycty.com,1,,henry county,Illinois,USA,County,,,GSA
herkimercounty.org,1,,herkimer county,New York,USA,County,,,GSA
hermosabeach.gov,1,Hermosa Beach,,California,USA,Local,,,CISA
hernandovotes.gov,1,,hernando county,Florida,USA,County,,,CISA
herrell.house.gov,1,,,New Mexico,,rep,,2,Manual Review
hice.house.gov,1,,,Georgia,,rep,,10,Manual Review
hidalgocounty.us,1,,Hidalgo County,Texas,USA,County,,,Manual Review
higgins.house.gov,1,,,New York,,rep,,26,Manual Review
hillsdaleny.com,1,hillsdale,,new york,USA,Local,,,GSA
hingham-ma.gov,0,Hingham,,Massachusetts,USA,Local,,,CISA
hobbsnm.org,1,hobbs,,new mexico,USA,Local,,,GSA
hokecounty.net,1,,hoke county,North Carolina,USA,County,,,GSA
hollingsworth.house.gov,1,,,Indiana,,rep,,9,Manual Review
hollyspringsnc.us,1,holly springs,,north carolina,USA,Local,,,GSA
hollywoodfl.org,1,hollywood,,florida,USA,Local,,,GSA
honolulu.gov,0,Honolulu,,Hawaii,USA,Local,,,CISA
hopewelltownship.com,1,hopewell township,,pennsylvania,USA,Local,,,GSA
hopkinsmn.com,1,hopkins,,minnesota,USA,Local,,,GSA
hopkintonri.org,1,hopkinton,,rhode island,USA,Local,,,GSA
hosting.okelections.us,0,,,Oklahoma,USA,State,,,Manual Review
houghtoncounty.net,1,,houghton county,Michigan,USA,County,,,GSA
houlahan.house.gov,1,,,Pennsylvania,,rep,,6,Manual Review
house.louisiana.gov,0,,,Louisiana,USA,State,,,Manual Review
house.state.pa.us,1,,,Pennsylvania,USA,State,,,Manual Review
houstontx.gov,1,Houston,,Texas,USA,Local,,,CISA
howardcountyin.gov,1,,howard county,Indiana,USA,County,,,CISA
hpca.gov,1,Huntington Park,,California,USA,Local,,,CISA
hsd.state.nm.us,1,,,New Mexico,USA,State,,,Manual Review
hudson.house.gov,1,,,North Carolina,,rep,,9,Manual Review
hudsoncolorado.org,1,hudson,,colorado,USA,Local,,,GSA
hudsonnh.gov,1,Hudson,,New Hampshire,USA,Local,,,CISA
hudsonwi.gov,1,Hudson,,Wisconsin,USA,Local,,,CISA
huffman.house.gov,1,,,California,,rep,,2,Manual Review
huizenga.house.gov,1,,,Michigan,,rep,,4,Manual Review
huntington.in.us,1,Huntington,,Indiana,USA,Local,,,Manual Review
hydeparkny.us,1,hyde park,,new york,USA,Local,,,GSA
idaho.gov,0,,,Idaho,USA,State,,,CISA
ighmn.gov,1,Inver Grove Heights,,Minnesota,USA,Local,,,CISA
il.gov,1,,,Illinois,USA,State,,,CISA
ilga.gov,1,,,Illinois,USA,State,,,CISA
illinois.gov,1,,,Illinois,USA,State,,,CISA
ilsos.gov,1,,,Illinois,USA,State,,,CISA
in.gov,1,,,Indiana,USA,State,,,CISA
indianavoters.in.gov,1,,,Indiana,USA,State,,,Manual Review
indy.gov,1,Indianapolis,,Indiana,USA,Local,,,CISA
info.scvotes.sc.gov,0,,,South Carolina,USA,State,,,CISA
iowa.gov,0,,,Iowa,USA,State,,,CISA
iowacourts.gov,0,,,Iowa,USA,State,,,CISA
iredellcountync.gov,1,,iredell county,North Carolina,USA,County,,,CISA
isabellacounty.org,1,,isabella county,Michigan,USA,County,,,GSA
islandcountywa.gov,1,,island county,Washington,USA,County,,,CISA
issaquahwa.gov,1,Issaquah,,Washington,USA,Local,,,CISA
itasca.com,1,itasca,,illinois,USA,Local,,,GSA
ivote.de.gov,0,,,Delaware,USA,State,,,CISA
jacksoncounty-il.gov,1,,jackson county,Illinois,USA,County,,,CISA
jacksoncountygov.com,1,,jackson county,Georgia,USA,County,,,GSA
jacksonvillebeach.org,1,jacksonville beach,,florida,USA,Local,,,GSA
jamescitycountyva.gov,1,,james city county,Virginia,USA,County,,,CISA
jamestownri.gov,1,Jamestown,,Rhode Island,USA,Local,,,CISA
janesvillewi.gov,1,Janesville,,Wisconsin,USA,Local,,,CISA
jaspercountyin.gov,1,,jasper county,Indiana,USA,County,,,CISA
jayapal.house.gov,1,,,Washington,,rep,,7,Manual Review
jeffco.us,1,,jefferson county,Colorado,USA,County,,,GSA
jeffersoncounty.in.gov,1,,Jefferson County,Indiana,USA,County,,,Manual Review
jeffersoncountyga.gov,1,,jefferson county,Georgia,USA,County,,,CISA
jeffersoncountywi.gov,1,,jefferson county,Wisconsin,USA,County,,,CISA
jerome.az.gov,1,Jerome,,Arizona,USA,Local,,,Manual Review
jfcountyks.com,1,,jefferson county,Kansas,USA,County,,,GSA
jocogov.org,1,,johnson county,Kansas,USA,County,,,GSA
jodaviess.org,1,,jo daviess county,Illinois,USA,County,,,GSA
jodaviesscountyil.gov,1,,jo davies county,Illinois,USA,County,,,CISA
johnscreekga.gov,1,Johns Creek,,Georgia,USA,Local,,,CISA
johnsoncountyiowa.gov,0,,johnson county,Iowa,USA,County,,,CISA
johnstonnc.com,1,,johnston county,North Carolina,USA,County,,,GSA
joliet.gov,1,Joliet,,Illinois,USA,Local,,,CISA
jonescountyga.org,1,,jones county,Georgia,USA,County,,,GSA
jonesville.org,1,jonesville,,michigan,USA,Local,,,GSA
juliabrownley.house.gov,1,,,California,,rep,,26,Manual Review
juneau.org,1,juneau,,alaska,USA,Local,,,GSA
jupiter.fl.us,1,jupiter,,florida,USA,Local,,,GSA
kalcounty.com,1,,kalamazoo county,Michigan,USA,County,,,GSA
kankakeecountyclerk.gov,1,,kankakee county,Illinois,USA,County,,,CISA
