Place,State,Type,Population,Latitude,Longitude,County,County FIPS,Location Dropped in Analysis
Upper Macungie,Pennsylvania,township,26741,40.5697736,-75.632447,Lehigh County,42077,1
Lehigh,Pennsylvania,township,426,40.6519679,-75.5742467,Carbon County,42025,
Hanover,Pennsylvania,township,3309,39.8006553,-76.9830358,Beaver County,42007,
Lower Saucon,Pennsylvania,township,11083,40.5877279,-75.3062326,Northampton County,42095,
Ross,Pennsylvania,township,33176,40.5367715,-80.0199562,Allegheny County,42003,
Towamensing,Pennsylvania,township,4508,40.873311,-75.5975296,Carbon County,42025,
Eldred,Pennsylvania,township,1259,41.9578425,-78.3852953,Jefferson County,42065,
East Penn,Pennsylvania,township,2784,40.7804012,-75.7255192,Carbon County,42025,
Packer,Pennsylvania,township,1036,40.8999574,-75.8882508,Carbon County,42025,
Lowhill,Pennsylvania,township,2278,40.6324516,-75.6557206,Lehigh County,42077,
Lower Towamensing,Pennsylvania,township,3090,40.8193078,-75.5626039,Carbon County,42025,
Lausanne,Pennsylvania,township,226,40.9662723,-75.8243427,Carbon County,42025,
East Allen,Pennsylvania,township,5023,40.7021783,-75.422819,Northampton County,42095,
Lower Milford,Pennsylvania,township,3851,40.4692917,-75.4694285,Lehigh County,42077,
Tunkhannock,Pennsylvania,township,7041,41.5386878,-75.946588,Monroe County,42089,
Washington,Pennsylvania,township,891,40.17396,-80.2461714,Armstrong County,42005,
Kidder,Pennsylvania,township,1816,41.060235,-75.667356,Carbon County,42025,
Mahoning,Pennsylvania,township,1393,40.8060965,-75.7720328,Armstrong County,42005,
Allentown,Pennsylvania,city,125944,40.6022939,-75.4714098,Lehigh County,42077,
Hazle,Pennsylvania,township,10170,40.9568399,-76.0275859,Luzerne County,42079,
Scott,Pennsylvania,township,17405,41.5377395,-75.632447,Allegheny County,42003,
Hazleton,Pennsylvania,city,29970,40.9584181,-75.9746472,Luzerne County,42079,
Jefferson,Pennsylvania,township,2371,39.9300749,-80.0589461,Berks County,42011,
Wright,Pennsylvania,township,5730,41.1247,-75.9056753,Luzerne County,42079,
Carbondale,Pennsylvania,city,8812,41.5736935,-75.5018508,Lackawanna County,42069,
Stroud,Pennsylvania,township,19944,41.0116555,-75.2128996,Monroe County,42089,1
Blooming Grove,Pennsylvania,township,5545,41.3588973,-75.0844757,Pike County,42103,
Jenkins,Pennsylvania,township,4337,41.277569,-75.7487779,Luzerne County,42079,
Wilkes-Barre,Pennsylvania,city,44453,41.2459149,-75.8813075,Luzerne County,42079,
Coolbaugh,Pennsylvania,township,20863,41.1823029,-75.3878525,Monroe County,42089,1
Plains,Pennsylvania,township,9807,41.2753589,-75.8501955,Luzerne County,42079,
Covington,Pennsylvania,township,495,41.7271918,-77.1255055,Clearfield County,42033,
Oregon,Pennsylvania,township,840,40.1137523,-76.248926,Wayne County,42127,
Fairmount,Pennsylvania,township,1209,39.9672371,-75.1685579,Luzerne County,42079,1
Clifton,Pennsylvania,township,1492,41.2509919,-75.5393155,Lackawanna County,42069,
Madison,Pennsylvania,township,820,40.2472924,-79.6772645,Armstrong County,42005,
South Canaan,Pennsylvania,township,1813,41.5191717,-75.4111644,Wayne County,42127,
Nescopeck,Pennsylvania,township,1088,41.0520292,-76.2207671,Luzerne County,42079,
Hollenback,Pennsylvania,township,1132,41.0615184,-76.0739999,Luzerne County,42079,1
Glenburn,Pennsylvania,township,1440,41.5236887,-75.7238029,Lackawanna County,42069,
Bear Creek,Pennsylvania,township,2752,41.1786936,-75.7563036,Luzerne County,42079,
West Abington,Pennsylvania,township,299,41.5218402,-75.777846,Lackawanna County,42069,
North Abington,Pennsylvania,township,717,41.5632303,-75.6789905,Lackawanna County,42069,
Newton,Pennsylvania,township,2866,41.4573735,-75.7720328,Lackawanna County,42069,
Scranton,Pennsylvania,city,75874,41.408969,-75.6624122,Lackawanna County,42069,
McKeesport,Pennsylvania,city,17493,40.3470671,-79.8641232,Allegheny County,42003,
West Deer,Pennsylvania,township,12240,40.6437754,-79.8632834,Allegheny County,42003,
Wilkins,Pennsylvania,township,6259,40.4260962,-79.82127,Allegheny County,42003,
Penn Hills,Pennsylvania,township,40558,40.5011794,-79.8392158,Allegheny County,42003,
Collier,Pennsylvania,township,8937,39.8503542,-79.778659,Allegheny County,42003,1
Shaler,Pennsylvania,township,27737,40.5309184,-79.9528451,Allegheny County,42003,
Aliquippa,Pennsylvania,city,9126,40.615537,-80.2621852,Beaver County,42007,
Brighton,Pennsylvania,township,8788,40.7081028,-80.3769999,Beaver County,42007,
Moon,Pennsylvania,township,26956,40.5169767,-80.2213477,Allegheny County,42003,
Buffalo,Pennsylvania,township,7936,40.1407565,-80.3547286,Butler County,42019,
O'Hara,Pennsylvania,township,9162,40.5133572,-79.9248669,Allegheny County,42003,
Upper St. Clair,Pennsylvania,township,20935,40.3205701,-80.0870155,Allegheny County,42003,
North Versailles,Pennsylvania,township,9931,40.3797913,-79.8094916,Allegheny County,42003,
New Sewickley,Pennsylvania,township,7092,40.7241033,-80.2098219,Beaver County,42007,
Kilbuck,Pennsylvania,township,763,40.5206361,-80.0953942,Allegheny County,42003,
Franklin,Pennsylvania,township,4689,41.3978358,-79.8314437,Adams County,42001,
Muddy Creek,Pennsylvania,township,2183,40.9260035,-80.109357,Butler County,42019,
Leet,Pennsylvania,township,1598,40.5750609,-80.2014543,Allegheny County,42003,
Brady,Pennsylvania,township,1198,41.1702171,-76.947022,Butler County,42019,
White,Pennsylvania,township,1300,40.0700733,-79.4369805,Beaver County,42007,
Crescent,Pennsylvania,township,2461,40.5597896,-80.2242264,Allegheny County,42003,
Jackson,Pennsylvania,township,5235,41.8381365,-75.5907399,Butler County,42019,
Fawn,Pennsylvania,township,2165,39.7685031,-76.4678766,Allegheny County,42003,
Connoquenessing,Pennsylvania,township,4183,40.8178427,-80.0142257,Butler County,42019,
Raccoon,Pennsylvania,township,2759,40.6075224,-80.3769999,Beaver County,42007,
Duquesne,Pennsylvania,city,5191,40.3814581,-79.8597708,Allegheny County,42003,
Mercer,Pennsylvania,township,1006,41.2270025,-80.2397852,Butler County,42019,
Pulaski,Pennsylvania,township,1278,41.1133918,-80.4322899,Beaver County,42007,
Pittsburgh,Pennsylvania,city,300431,40.4406248,-79.9958864,Allegheny County,42003,
Cranston,Rhode Island,city,82566,41.7798226,-71.4372796,Providence County,44007,
Warwick,Rhode Island,city,83011,41.7001009,-71.4161671,Kent County,44003,
Woonsocket,Rhode Island,city,43118,42.0028761,-71.5147839,Providence County,44007,
Coventry,Rhode Island,town,35676,41.6885978,-71.5642076,Kent County,44003,
Pawtucket,Rhode Island,city,75387,41.878711,-71.3825558,Providence County,44007,
Cumberland,Rhode Island,town,36434,41.9721816,-71.4061876,Providence County,44007,
East Providence,Rhode Island,city,46929,41.8137116,-71.3700545,Providence County,44007,
North Providence,Rhode Island,town,34003,41.8535518,-71.4676639,Providence County,44007,
New Shoreham,Rhode Island,town,1416,41.172137,-71.5576045,Washington County,44009,
Central Falls,Rhode Island,city,22464,41.8906553,-71.3922785,Providence County,44007,
West Warwick,Rhode Island,town,31188,41.7036711,-71.5215024,Kent County,44003,
Richmond,Rhode Island,town,8165,41.4944764,-71.6708363,Washington County,44009,
Scituate,Rhode Island,town,10404,41.7964495,-71.6198686,Providence County,44007,
West Greenwich,Rhode Island,town,6636,41.6285498,-71.6638132,Kent County,44003,
Foster,Rhode Island,town,4472,41.8537098,-71.7581249,Providence County,44007,
Narragansett,Rhode Island,town,14615,41.4500844,-71.449503,Washington County,44009,
Westerly,Rhode Island,town,23483,41.3775987,-71.8272871,Washington County,44009,
Hopkinton,Rhode Island,town,8462,41.4612719,-71.7775501,Washington County,44009,
Burrillville,Rhode Island,town,16216,41.9661165,-71.6847247,Providence County,44007,
Johnston,Rhode Island,town,29534,41.8205199,-71.512617,Providence County,44007,
Glocester,Rhode Island,town,10087,41.9043113,-71.691066,Providence County,44007,
Smithfield,Rhode Island,town,21838,41.9220496,-71.5495101,Providence County,44007,
Providence,Rhode Island,city,189692,41.8239891,-71.4128343,Providence County,44007,
Accomac,Virginia,town,522,37.7195741,-75.6654845,Accomack County,51001,
Onancock,Virginia,town,1161,37.7117971,-75.7490966,Accomack County,51001,
Onley,Virginia,town,534,37.6909641,-75.7160405,Accomack County,51001,
Parksley,Virginia,town,809,37.7820725,-75.6535401,Accomack County,51001,
Cape Charles,Virginia,town,1180,37.267916,-76.0174336,Northampton County,51131,
Cheriton,Virginia,town,473,37.2895825,-75.9713209,Northampton County,51131,
Exmore,Virginia,town,1451,37.5318008,-75.8229859,Northampton County,51131,
Nassawadox,Virginia,town,518,37.4748572,-75.8582639,Northampton County,51131,
Bloxom,Virginia,town,382,37.8295713,-75.6232616,Accomack County,51001,
Hallwood,Virginia,town,205,37.8776256,-75.589094,Accomack County,51001,
Keller,Virginia,town,141,37.6192992,-75.7638185,Accomack County,51001,
Melfa,Virginia,town,396,37.6492986,-75.7413182,Accomack County,51001,
Painter,Virginia,town,273,37.585411,-75.7849299,Accomack County,51001,
Saxis,Virginia,town,169,37.9240145,-75.7218743,Accomack County,51001,
Tangier,Virginia,town,431,37.8262373,-75.9916035,Accomack County,51001,
Wachapreague,Virginia,town,254,37.6042998,-75.6896502,Accomack County,51001,
Eastville,Virginia,town,298,37.3526369,-75.945765,Northampton County,51131,
Chincoteague,Virginia,town,3306,37.933179,-75.3788086,Accomack County,51001,
Wenatchee,Washington,city,35405,47.4234599,-120.3103494,Chelan County,53007,
Kenmore,Washington,city,23502,47.7583576,-122.2496863,King County,53033,
Shoreline,Washington,city,57918,47.7559659,-122.3456972,King County,53033,
Des Moines,Washington,city,32689,47.4017661,-122.3242902,King County,53033,
Woodinville,Washington,city,13425,47.7542651,-122.1634582,King County,53033,
SeaTac,Washington,city,30759,47.4435903,-122.2960726,King County,53033,
Lake Forest Park,Washington,city,13358,47.7601288,-122.283982,King County,53033,
Maple Valley,Washington,city,28153,47.3903403,-122.0453589,King County,53033,
Newcastle,Washington,city,12969,47.5376072,-122.1619948,King County,53033,
Covington,Washington,city,20787,47.3595592,-122.118012,King County,53033,
Issaquah,Washington,city,39505,47.5301011,-122.0326191,King County,53033,
Kirkland,Washington,city,92107,47.6768927,-122.2059833,King County,53033,
Fife,Washington,city,10985,47.2392665,-122.3570664,Pierce County,53053,
Snoqualmie,Washington,city,13810,47.5287132,-121.8253906,King County,53033,
Bonney Lake,Washington,city,22848,47.1770777,-122.1868601,Pierce County,53053,
Sumner,Washington,city,10673,47.2031566,-122.2403966,Pierce County,53053,
Skykomish,Washington,town,159,47.7092746,-121.3601014,King County,53033,
Carbonado,Washington,town,742,47.0798248,-122.0515005,Pierce County,53053,
North Bend,Washington,city,7695,47.4956579,-121.7867775,King County,53033,
South Prairie,Washington,town,369,47.1392684,-122.0981691,Pierce County,53053,
Algona,Washington,city,3241,47.2790619,-122.249923,King County,53033,
South Cle Elum,Washington,town,549,47.1856752,-120.9489713,Kittitas County,53037,
Chelan,Washington,city,4374,47.8408323,-120.0168079,Chelan County,53007,
Wilkeson,Washington,town,492,47.1053802,-122.0456673,Pierce County,53053,
Fircrest,Washington,city,7115,47.2395428,-122.5159586,Pierce County,53053,
Clyde Hill,Washington,city,3108,47.6317656,-122.2179015,King County,53033,
Buckley,Washington,city,5321,47.1631573,-122.0267787,Pierce County,53053,
Roy,Washington,city,814,47.0042643,-122.539846,Pierce County,53053,
Kittitas,Washington,city,1420,46.9831822,-120.4170102,Kittitas County,53037,
Duvall,Washington,city,8410,47.7423218,-121.9856781,King County,53033,
Seattle,Washington,city,733919,47.6062095,-122.3320708,King County,53033,
Avondale,Arizona,city,90564,33.4355977,-112.3496021,Maricopa County,4013,
Chandler,Arizona,city,279458,33.3061605,-111.8412502,Maricopa County,4013,
Oro Valley,Arizona,town,47879,32.3909071,-110.966488,Pima County,4019,
Safford,Arizona,city,10269,32.8339546,-109.70758,Graham County,4009,
Coolidge,Arizona,city,14709,32.977839,-111.517624,Pinal County,4021,
Maricopa,Arizona,city,62720,33.0581063,-112.0476423,Pinal County,4021,
Sahuarita,Arizona,town,35337,31.9575818,-110.955646,Pima County,4019,
Tempe,Arizona,city,184118,33.4255104,-111.9400054,Maricopa County,4013,
Camp Verde,Arizona,town,12244,34.5636358,-111.8543178,Yavapai County,4025,
Surprise,Arizona,city,149191,33.6292337,-112.3679279,Maricopa County,4013,
Chino Valley,Arizona,town,13492,34.7575227,-112.4537809,Yavapai County,4025,
Scottsdale,Arizona,city,242753,33.4941704,-111.9260519,Maricopa County,4013,
Eloy,Arizona,city,15450,32.7558962,-111.554844,Pinal County,4021,
Gilbert,Arizona,town,273136,33.3528264,-111.789027,Maricopa County,4013,
Lake Havasu City,Arizona,city,58284,34.483901,-114.3224548,Mohave County,4015,
Kearny,Arizona,town,1789,33.0570085,-110.9106656,Pinal County,4021,
Eagar,Arizona,town,4439,34.1111581,-109.291475,Apache County,4001,
Winslow,Arizona,city,8943,35.0241873,-110.6973571,Navajo County,4017,
Springerville,Arizona,town,1716,34.1333799,-109.2859196,Apache County,4001,
Thatcher,Arizona,town,5310,32.8492323,-109.7592479,Graham County,4009,
Jerome,Arizona,town,467,34.7489107,-112.1137716,Yavapai County,4025,
Taylor,Arizona,town,4119,34.4650374,-110.0912265,Navajo County,4017,
Clifton,Arizona,town,3847,33.0508966,-109.2961826,Greenlee County,4011,
St. Johns,Arizona,city,3388,34.5058698,-109.3609327,Apache County,4001,
Dewey-Humboldt,Arizona,town,4455,34.5056894,-112.2427894,Yavapai County,4025,
Holbrook,Arizona,city,4842,34.9022482,-110.1581768,Navajo County,4017,
Colorado City,Arizona,town,2520,36.9902621,-112.9757702,Mohave County,4015,
Clarkdale,Arizona,town,4635,34.7711319,-112.0579367,Yavapai County,4025,
Star Valley,Arizona,town,2532,34.2550351,-111.2584672,Gila County,4007,
Phoenix,Arizona,city,1624569,33.4483771,-112.0740373,Maricopa County,4013,
Commerce City,Colorado,city,64287,39.8083196,-104.9338675,Adams County,8001,
Federal Heights,Colorado,city,14194,39.8598956,-105.0160712,Adams County,8001,
Estes Park,Colorado,town,5880,40.3772059,-105.5216651,Larimer County,8069,
Loveland,Colorado,city,77194,40.3977612,-105.0749801,Larimer County,8069,
Wellington,Colorado,town,11722,40.7038712,-105.0085856,Larimer County,8069,
Dacono,Colorado,city,6487,40.0847062,-104.9394216,Weld County,8123,
Evans,Colorado,city,22296,40.3763701,-104.6921874,Weld County,8123,
Firestone,Colorado,town,17299,40.1124839,-104.9366436,Weld County,8123,
Fort Lupton,Colorado,city,8260,40.0847055,-104.8130275,Weld County,8123,
Frederick,Colorado,town,15761,40.0991506,-104.9371993,Weld County,8123,
Greeley,Colorado,city,109323,40.4233142,-104.7091322,Weld County,8123,
Milliken,Colorado,town,8696,40.3294268,-104.85525,Weld County,8123,
Severance,Colorado,town,9605,40.5241479,-104.8510819,Weld County,8123,
Ault,Colorado,town,2365,40.5824804,-104.7319112,Weld County,8123,
Eaton,Colorado,town,5868,40.5194046,-104.702515,Weld County,8123,
Garden City,Colorado,town,254,40.39387,-104.6894093,Weld County,8123,
Gilcrest,Colorado,town,1017,40.2819266,-104.7777471,Weld County,8123,
Grover,Colorado,town,154,40.8713729,-104.2252275,Weld County,8123,
Hudson,Colorado,town,1635,40.0735941,-104.6430199,Weld County,8123,
Keenesburg,Colorado,town,1726,40.1083158,-104.5199585,Weld County,8123,
Kersey,Colorado,town,1494,40.387481,-104.5616256,Weld County,8123,
La Salle,Colorado,town,2342,40.3488703,-104.7019102,Weld County,8123,
Mead,Colorado,town,5336,40.2333174,-104.9985899,Weld County,8123,
Nunn,Colorado,town,515,40.7035916,-104.7808024,Weld County,8123,
Pierce,Colorado,town,1097,40.635536,-104.7552458,Weld County,8123,
Platteville,Colorado,town,2937,40.2149829,-104.8227494,Weld County,8123,
Raymer (New Raymer),Colorado,town,109,40.6080372,-103.8438774,Weld County,8123,
Fort Collins,Colorado,city,168538,40.5852602,-105.084423,Larimer County,8069,
Stokesdale,North Carolina,town,5995,36.2370802,-79.979483,Guilford County,37081,
Elon,North Carolina,town,11350,36.1007362,-79.5066839,Alamance County,37001,
Oxford,North Carolina,city,8775,36.3107004,-78.5908345,Granville County,37077,
Graham,North Carolina,city,17273,36.0679408,-79.4003792,Alamance County,37001,
Garner,North Carolina,town,31935,35.7112642,-78.6141709,Wake County,37183,
Summerfield,North Carolina,town,11119,36.2087468,-79.9047583,Guilford County,37081,
Reidsville,North Carolina,city,14524,36.3548586,-79.6644747,Rockingham County,37157,
Rolesville,North Carolina,town,10047,35.9232073,-78.4574996,Wake County,37183,
Roxboro,North Carolina,city,8089,36.3937519,-78.982788,Person County,37145,
Knightdale,North Carolina,town,19576,35.7876515,-78.4805563,Wake County,37183,
Butner,North Carolina,town,8487,36.1320892,-78.7566714,Granville County,37077,
Holly Springs,North Carolina,town,43524,35.6512655,-78.8336218,Wake County,37183,
Eden,North Carolina,city,15319,36.4884715,-79.7667026,Rockingham County,37157,
Wendell,North Carolina,town,11570,35.780987,-78.3697213,Wake County,37183,
Oak Ridge,North Carolina,town,7595,36.1734694,-79.9889277,Guilford County,37081,
Green Level,North Carolina,town,3174,36.1210117,-79.3502302,Alamance County,37001,
Yanceyville,North Carolina,town,1801,36.4040273,-79.3361314,Caswell County,37033,
Whitsett,North Carolina,town,593,36.0766877,-79.5699389,Guilford County,37081,
Milton,North Carolina,town,156,36.5390286,-79.208628,Caswell County,37033,
Stem,North Carolina,town,987,36.199867,-78.7222261,Granville County,37077,
Madison,North Carolina,town,2120,36.385415,-79.959485,Rockingham County,37157,
Creedmoor,North Carolina,city,5017,36.1223683,-78.6861145,Granville County,37077,
Stoneville,North Carolina,town,1312,36.4665269,-79.9069847,Rockingham County,37157,
Haw River,North Carolina,town,2263,36.0949027,-79.3567502,Alamance County,37001,
Wentworth,North Carolina,town,2657,36.4001371,-79.7744792,Rockingham County,37157,
Stovall,North Carolina,town,335,36.4481986,-78.5702786,Granville County,37077,
Pleasant Garden,North Carolina,town,5044,35.96208,-79.7622513,Guilford County,37081,
Mayodan,North Carolina,town,2415,36.4123597,-79.9669857,Rockingham County,37157,
Sedalia,North Carolina,town,680,36.0673577,-79.6205812,Guilford County,37081,
Ossipee,North Carolina,town,541,36.1682509,-79.5136756,Alamance County,37001,
Greensboro,North Carolina,city,298263,36.0726354,-79.7919754,Guilford County,37081,
Ralston,Nebraska,city,6462,41.2002566,-96.031987,Douglas County,31055,
Bellevue,Nebraska,city,63737,41.1543623,-95.9145568,Sarpy County,31153,
La Vista,Nebraska,city,16648,41.1838878,-96.031127,Sarpy County,31153,
Papillion,Nebraska,city,24105,41.1544432,-96.0422378,Sarpy County,31153,
Bennington,Nebraska,city,2000,41.3647193,-96.1577968,Douglas County,31055,
Valley,Nebraska,city,3074,41.3110284,-96.3465622,Douglas County,31055,
Gretna,Nebraska,city,5088,41.1404549,-96.2436842,Sarpy County,31153,
Springfield,Nebraska,city,1509,41.0819432,-96.13446,Sarpy County,31153,
Omaha,Nebraska,city,487300,41.2565369,-95.9345034,Douglas County,31055,
Roswell,New Mexico,city,48081,33.3942655,-104.5230242,Chaves County,35005,
Grants,New Mexico,city,9170,35.14726,-107.8514466,Cibola County,35006,
Artesia,New Mexico,city,12458,32.8423345,-104.4032962,Eddy County,35015,
Carlsbad,New Mexico,city,31888,32.4203395,-104.2289925,Eddy County,35015,
Silver City,New Mexico,town,9578,32.770075,-108.280326,Grant County,35017,
Hobbs,New Mexico,city,39756,32.7026116,-103.1360403,Lea County,35025,
Lovington,New Mexico,city,11426,32.9440077,-103.3485543,Lea County,35025,
Deming,New Mexico,city,14835,32.2686981,-107.7586404,Luna County,35029,
Alamogordo,New Mexico,city,31652,32.8995325,-105.960265,Otero County,35035,
Truth or Consequences,New Mexico,city,6062,33.1284047,-107.2528069,Sierra County,35051,
Socorro,New Mexico,city,8414,34.0583995,-106.8914159,Socorro County,35053,
Belen,New Mexico,city,7423,34.6627652,-106.7761546,Valencia County,35061,
Rio Communities,New Mexico,city,4977,34.6458473,-106.7175669,Valencia County,35061,
Gallup,New Mexico,city,21495,35.5280783,-108.7425843,McKinley County,35031,
Portales,New Mexico,city,12042,34.1861922,-103.3343978,Roosevelt County,35041,
Santa Rosa,New Mexico,city,2846,34.93867,-104.6824892,Guadalupe County,35019,
Ruidoso Downs,New Mexico,city,2648,33.3289733,-105.6044291,Lincoln County,35027,
Hagerman,New Mexico,town,978,33.1151077,-104.3269074,Chaves County,35005,
Vaughn,New Mexico,town,281,34.6017346,-105.2083337,Guadalupe County,35019,
Hurley,New Mexico,town,1247,32.6992442,-108.1319872,Grant County,35017,
Lordsburg,New Mexico,city,2273,32.3503605,-108.7086649,Hidalgo County,35023,
Peralta,New Mexico,town,3406,34.8369984,-106.690581,Valencia County,35061,
Elephant Butte,New Mexico,city,1427,33.1770471,-107.2252675,Sierra County,35051,
Lake Arthur,New Mexico,town,381,32.9981657,-104.3666291,Chaves County,35005,
Eunice,New Mexico,city,2997,32.4373434,-103.1590798,Lea County,35025,
Dexter,New Mexico,town,1072,33.197328,-104.3730202,Chaves County,35005,
Elida,New Mexico,town,158,33.9467526,-103.6566262,Roosevelt County,35041,
Carrizozo,New Mexico,town,972,33.6417408,-105.877212,Lincoln County,35027,
Tatum,New Mexico,town,697,33.2570566,-103.317728,Lea County,35025,
Bayard,New Mexico,city,2097,32.7617427,-108.1305989,Grant County,35017,
Albuquerque,New Mexico,city,562599,35.0843859,-106.650422,Bernalillo County,35001,
La Feria,Texas,city,6814,26.1591043,-97.824093,Cameron County,48061,
Weslaco,Texas,city,41024,26.1595194,-97.9908366,Hidalgo County,48215,
Elsa,Texas,city,5680,26.2934048,-97.9930588,Hidalgo County,48215,
Los Fresnos,Texas,city,8152,26.0717438,-97.4763733,Cameron County,48061,
Beeville,Texas,city,13641,28.4008319,-97.7483312,Bee County,48025,
Sullivan City,Texas,city,3905,26.2775706,-98.563633,Hidalgo County,48215,
Mission,Texas,city,86223,26.2159066,-98.3252932,Hidalgo County,48215,
Gonzales,Texas,city,7098,29.5016257,-97.4524926,Gonzales County,48177,
Primera,Texas,town,5303,26.2259079,-97.7580492,Cameron County,48061,
Cuero,Texas,city,8235,29.0938652,-97.2891568,DeWitt County,48123,
Raymondville,Texas,city,10510,26.4814565,-97.783051,Willacy County,48489,
Mercedes,Texas,city,16312,26.1497977,-97.9136112,Hidalgo County,48215,
Alton,Texas,city,18860,26.2872995,-98.3133594,Hidalgo County,48215,
Palmview,Texas,city,15884,26.233406,-98.3708503,Hidalgo County,48215,
Alice,Texas,city,17761,27.7522487,-98.0697249,Jim Wells County,48249,
Smiley,Texas,city,480,29.2677433,-97.6358283,Gonzales County,48177,
La Villa,Texas,city,2712,26.2986827,-97.9286117,Hidalgo County,48215,
Los Indios,Texas,town,1012,26.0492445,-97.7449935,Cameron County,48061,
Progreso Lakes,Texas,city,259,26.0717442,-97.958891,Hidalgo County,48215,
Indian Lake,Texas,town,851,26.0892433,-97.5024853,Cameron County,48061,
Nordheim,Texas,city,330,28.9210896,-97.6097188,DeWitt County,48123,
Lake City,Texas,town,458,28.0794565,-97.8858331,San Patricio County,48409,
Lyford,Texas,city,2210,26.4122916,-97.7897176,Willacy County,48489,
Palm Valley,Texas,city,1398,26.2017415,-97.7541602,Cameron County,48061,
Ingleside on the Bay,Texas,city,608,27.829352,-97.2241138,San Patricio County,48409,
Goliad,Texas,city,1624,28.6683252,-97.3883265,Goliad County,48175,
Laguna Vista,Texas,town,3605,26.1009111,-97.2902543,Cameron County,48061,
Edcouch,Texas,city,2720,26.2939604,-97.9605574,Hidalgo County,48215,
San Perlita,Texas,city,531,26.5011785,-97.6397111,Willacy County,48489,
Granjeno,Texas,city,287,26.1347979,-98.3047363,Hidalgo County,48215,
Brownsville,Texas,city,187831,25.9017472,-97.4974838,Cameron County,48061,
Rochelle,Georgia,city,1166,31.9510105,-83.4562744,Wilcox County,13315,
Waverly Hall,Georgia,town,622,32.683469,-84.7382609,Harris County,13145,
Nahunta,Georgia,city,1004,31.20439,-81.981226,Brantley County,13025,
Gumbranch,Georgia,city,245,31.8405695,-81.6816118,Liberty County,13179,
Clermont,Georgia,town,1132,34.4778752,-83.7735148,Hall County,13139,
Boston,Georgia,city,1209,30.7918613,-83.7898868,Thomas County,13275,
Jacksonville,Georgia,city,115,31.8126838,-82.9790358,Telfair County,13271,
Bowman,Georgia,city,860,34.2048295,-83.0307002,Elbert County,13105,
Riddleville,Georgia,town,79,32.9068227,-82.6656894,Washington County,13303,
Whigham,Georgia,city,423,30.8829681,-84.3237944,Grady County,13131,
Brinson,Georgia,town,214,30.9768532,-84.7376974,Decatur County,13087,
Carl,Georgia,town,215,34.005663,-83.8112862,Barrow County,13013,
Stillmore,Georgia,city,437,32.442115,-82.2151233,Emanuel County,13107,
Camak,Georgia,town,135,33.4534709,-82.6459668,Warren County,13301,
Fort Gaines,Georgia,city,999,31.6090569,-85.0471505,Clay County,13061,
Lakeland,Georgia,city,2762,31.0410373,-83.0751471,Lanier County,13173,
Hinesville,Georgia,city,35420,31.8315028,-81.6141099,Liberty County,13179,
Thomaston,Georgia,city,9761,32.8881879,-84.3265854,Upson County,13293,
Adel,Georgia,city,5507,31.1371358,-83.4234936,Cook County,13075,
Dalton,Georgia,city,34285,34.7698021,-84.9702228,Whitfield County,13313,
Bainbridge,Georgia,city,14292,30.9037995,-84.5754699,Decatur County,13087,
Acworth,Georgia,city,22284,34.0659329,-84.6768796,Cobb County,13067,
Calhoun,Georgia,city,17318,34.502587,-84.9510542,Gordon County,13129,
Decatur,Georgia,city,24569,33.7748275,-84.2963123,DeKalb County,13089,
Lilburn,Georgia,city,15168,33.8901036,-84.1429719,Gwinnett County,13135,
Dacula,Georgia,city,7008,33.9887165,-83.8979573,Gwinnett County,13135,
Trenton,Georgia,city,2201,34.8720222,-85.50913,Dade County,13083,
Gray,Georgia,city,3407,33.0095802,-83.5337816,Jones County,13169,
Rossville,Georgia,city,3984,34.9831309,-85.2860676,Walker County,13295,
Abbeville,Georgia,city,2662,31.9921223,-83.3068243,Wilcox County,13315,
Columbus,Georgia,city,205617,32.4609764,-84.9877094,Muscogee County,13215,
Chelsea,Wisconsin,town,713,45.2902456,-90.3073675,Taylor County,55119,
Bass Lake,Wisconsin,town,2820,45.9328194,-91.4517757,Sawyer County,55113,
Harrison,Wisconsin,town,0,44.1341553,-88.2917724,Calumet County,55015,
Westfield,Wisconsin,town,802,43.8835948,-89.4934393,Marquette County,55077,
Marion,Wisconsin,town,641,44.670812,-88.889272,Grant County,55043,
Portland,Wisconsin,town,1080,43.2285685,-88.953178,Dodge County,55027,
Alban,Wisconsin,town,858,44.6277513,-89.2848362,Portage County,55097,
Reseburg,Wisconsin,town,793,44.9152441,-90.7601375,Clark County,55019,
Lima,Wisconsin,town,779,43.6753863,-87.8746146,Grant County,55043,
Burlington,Wisconsin,city,11008,42.6780726,-88.2762026,Racine County,55101,
Fairchild,Wisconsin,town,457,44.6002391,-90.9629277,Eau Claire County,55035,
Meadowbrook,Wisconsin,town,138,45.6899523,-91.1042455,Sawyer County,55113,
Pence,Wisconsin,town,161,46.4152257,-90.2715658,Iron County,55051,
Weyauwega,Wisconsin,city,1775,44.3213695,-88.9337226,Waupaca County,55135,
Cross,Wisconsin,town,369,44.1790349,-91.6566377,Buffalo County,55011,
Westford,Wisconsin,town,1302,43.4982801,-88.9605365,Dodge County,55027,
Mondovi,Wisconsin,city,2801,44.5677422,-91.6709927,Buffalo County,55011,
Brookfield,Wisconsin,city,41464,43.0605671,-88.1064787,Waukesha County,55133,
Beloit,Wisconsin,city,36609,42.5083482,-89.0317765,Rock County,55105,
